あかり	明かり
あした	明日
あたり	当たり
あたる	当たる
あたらない	当たらない
あとで	後で
あぶない	危ない
あめ	雨
あんしん	安心
あんぜん	安全
あんない	案内
いえ	家
いきてた	生きてた
いく	行く
いけない	行けない
いし	石
いっしゅうかん	一週間
いちだん	一段
いちばん	一番
いのち	命
いぬ	犬
いま	今
いまから	今から
いまは	今は
いみ	意味
いりぐち	入り口
いわ	岩
ういてる	浮いてる
うえ	上
うく	浮く
うけると	受けると
うしろ	後ろ
うって	売って
うってる	売ってる
うる	売る
えき	駅
おいて	置いて
おおかみ	狼
おおきい	大きい
おかね	お金
おくゆき	奥行き
おしごと	お仕事
おそい	遅い
おちる	落ちる
おちて	落ちて
おちた	落ちた
おちたら	落ちたら
おちます	落ちます
おてつだい	お手伝い
おと	音
おとした	落とした
おねがい	お願い
おの	斧
おはな	お花
おひる	お昼
おもい	重い
おもう	思う
おれ	俺
かいじょ	解除
かいだん	階段
かいちく	改築
かいとり    買い取り
かいふく	回復
かいほう    解放
かいしゅう	回収
かえたい	変えたい
かえれた	帰れた
かくし	隠し
かくしつうろ	隠し通路
かくしべや	隠し部屋
かず	数
かってに	勝手に
かのうせい	可能性
かみなり	雷
かわいい	可愛い
かんけい	関係
かんし	監視
かんじ	漢字
かんしょう	干渉
かんせい    完成
かんぜん	完全
かんばん    看板
かんり	管理
きあい	気合い
きいて	聞いて
きえた	消えた
きえて	消えて
きえる	消える
きけん	危険
きづいて	気づいて
きて	来て
きのう 昨日
きばく	起爆
きぶん	気分
きもち	気持ち
きもちわるい	気持ち悪い
きょう	今日
きょうどう	共同
きょじゅうく	居住区
きょどう	挙動
きれい	綺麗
くうちゅう	空中
くうどう	空洞
くかく	区画
けいかく	計画
けいけん	経験
けいけんち	経験値
けいげん	軽減
けいざい	経済
けいじばん   掲示板
げいじゅつ	芸術
げいじゅつてき	芸術的
けっこう	結構
げんかい	限界
けんげん    権限
けんせつ	建設
げんち	現地
けんちく	建築
けんちくぶつ	建築物
げんちちょうたく	現地調達
げんぼく	原木
こううん	幸運
こうかん	交換
こうげき	攻撃
こうせき	鉱石
こうど	高度
こうみゃく	鉱脈
こうりつ	効率
こくようせき  黒曜石
ごじゆうに	ご自由に
ごぜん	午前
ごにん	五人
ごはん	ご飯
こまらない	困らない
こまる	困る
こむぎ	小麦
こや	小屋
ごりょうかく	五稜郭
こわい	怖い
こわした	壊した
